roi_id,centroid_row,centroid_col,Channel_1_Mean,Channel_2_Mean,Channel_3_Mean,Channel_4_Mean,Channel_5_Mean,Channel_6_Mean,Channel_7_Mean,Channel_8_Mean,Channel_9_Mean,Channel_10_Mean,Channel_11_Mean,Channel_12_Mean,Channel_13_Mean,Channel_14_Mean,Channel_15_Mean
22,697.8546845124283,318.0229445506692,0.0,4.588910133843212,27.001912045889103,90.16252390057362,97.24856596558317,62.005736137667306,42.27533460803059,30.562141491395792,2.967495219885277,3.1816443594646273,15.269598470363288,14.982791586998088,14.173996175908222,12.579349904397706,10.206500956022944
23,717.7241379310345,332.132183908046,0.0,4.836206896551724,27.04597701149425,88.90229885057471,97.83620689655173,61.61206896551724,42.002873563218394,30.847701149425287,3.0172413793103448,3.528735632183908,18.160919540229884,24.520114942528735,26.60632183908046,23.95402298850575,19.479885057471265
24,742.0913705583756,376.75126903553297,0.0,7.6091370558375635,46.31472081218274,157.248730964467,172.13197969543148,109.74619289340102,73.55583756345177,52.631979695431475,4.888324873096447,5.307106598984771,29.428934010152282,34.19543147208122,35.629441624365484,32.35279187817259,25.390862944162436
25,733.0264317180616,397.52863436123346,0.0,6.182819383259912,37.55506607929515,125.36563876651982,137.68942731277534,86.36784140969164,58.74449339207048,42.82599118942731,4.015418502202643,4.865638766519824,29.685022026431717,40.18942731277533,43.16519823788546,39.1431718061674,30.63215859030837
26,742.2287581699346,448.43954248366015,0.0,1.7875816993464053,5.84640522875817,16.583333333333332,17.184640522875817,11.542483660130719,8.406862745098039,6.632352941176471,0.9215686274509803,1.9330065359477124,11.282679738562091,16.68300653594771,18.45098039215686,17.09967320261438,14.040849673202615
27,752.7768052516411,476.25382932166303,0.0,1.9781181619256019,7.321663019693654,21.809628008752735,22.807439824945295,15.37199124726477,10.820568927789934,8.36323851203501,1.0306345733041575,1.912472647702407,10.188183807439826,14.724288840262583,15.706783369803064,14.472647702407002,11.85776805251641
28,750.0,509.7408585055644,0.0,1.740858505564388,6.1891891891891895,18.023847376788552,19.22893481717011,12.689984101748808,9.18441971383148,7.087440381558029,0.9220985691573926,2.2225755166931638,14.34658187599364,22.232114467408586,24.596184419713833,22.486486486486488,18.106518282988873
29,746.42,537.07,0.0,1.478,4.85,13.58,14.276,9.68,7.076,5.48,0.672,1.446,7.976,11.398,12.456,11.72,9.608
30,747.3679245283018,574.1830188679245,0.0,1.3867924528301887,4.483018867924528,11.8,12.309433962264151,8.316981132075473,6.084905660377358,4.80377358490566,0.6641509433962264,2.267924528301887,16.90566037735849,27.318867924528302,30.109433962264152,27.29245283018868,21.90754716981132
31,749.3982169390788,612.5156017830609,0.0,1.3803863298662704,4.2689450222882614,11.12927191679049,11.569093610698365,7.726597325408618,5.887072808320951,4.8350668647845465,0.5973254086181278,1.736998514115899,10.848439821693908,16.528974739970284,17.789004457652304,16.476968796433876,13.453194650817236
32,732.4170096021948,647.0946502057614,0.0,1.02880658436214,2.8052126200274348,6.791495198902607,7.054869684499314,4.775034293552812,3.9026063100137174,3.3566529492455417,0.43621399176954734,1.8203017832647461,11.489711934156379,17.43758573388203,19.561042524005487,18.049382716049383,14.554183813443073
33,724.0939226519337,673.8591160220994,0.0,0.7596685082872928,2.091160220994475,4.867403314917127,5.00828729281768,3.4198895027624308,2.729281767955801,2.527624309392265,0.27900552486187846,1.7651933701657458,11.773480662983426,18.240331491712706,20.64917127071823,19.33977900552486,15.671270718232044
34,676.3814102564103,711.7596153846154,0.0,0.4935897435897436,1.4102564102564104,2.9038461538461537,2.9006410256410255,2.298076923076923,1.8044871794871795,1.8012820512820513,0.1987179487179487,1.6730769230769231,12.573717948717949,24.307692307692307,34.72115384615385,41.44551282051282,37.48717948717949
35,674.3058103975535,742.6850152905199,0.0,0.6024464831804281,1.18348623853211,2.675840978593272,2.522935779816514,2.0336391437308867,1.5871559633027523,1.6085626911314985,0.15902140672782875,1.507645259938838,11.192660550458715,21.55045871559633,31.10091743119266,35.706422018348626,33.63608562691132
36,648.2591240875912,751.6350364963504,0.0,0.6094890510948905,1.4197080291970803,3.0547445255474455,3.0474452554744524,2.0839416058394162,1.8211678832116789,1.7627737226277371,0.14963503649635038,1.6642335766423357,13.514598540145986,25.733576642335766,37.85401459854015,44.28102189781022,41.193430656934304
37,651.2372448979592,786.7933673469388,0.0,0.5102040816326531,1.135204081632653,2.443877551020408,2.3494897959183674,1.721938775510204,1.4260204081632653,1.4872448979591837,0.18112244897959184,1.2857142857142858,10.698979591836734,20.341836734693878,29.96938775510204,35.65816326530612,32.38520408163265
38,611.9383033419023,766.6503856041131,0.0,0.6195372750642674,1.6709511568123394,3.4215938303341904,3.3624678663239074,2.3573264781491003,2.020565552699229,1.930591259640103,0.30848329048843187,1.8097686375321336,13.395886889460154,25.467866323907455,38.22107969151671,45.89460154241645,41.68380462724936
39,606.1222570532915,739.128526645768,0.0,0.6489028213166145,1.4545454545454546,3.250783699059561,3.206896551724138,2.4420062695924765,1.9874608150470219,1.8369905956112853,0.219435736677116,1.567398119122257,12.373040752351097,24.144200626959247,35.5141065830721,43.01253918495298,39.43887147335423
40,578.7377049180328,735.24043715847,0.0,0.5409836065573771,1.3114754098360655,2.7923497267759565,2.762295081967213,1.9508196721311475,1.6284153005464481,1.6010928961748634,0.20491803278688525,1.2459016393442623,9.642076502732241,18.939890710382514,27.991803278688526,34.16393442622951,31.885245901639344
41,567.0490196078431,756.6617647058823,0.0,0.5735294117647058,1.053921568627451,2.2745098039215685,2.1813725490196076,1.5735294117647058,1.2941176470588236,1.3872549019607843,0.1323529411764706,1.142156862745098,8.401960784313726,15.887254901960784,22.30392156862745,26.519607843137255,24.61764705882353
42,533.2569974554707,714.5852417302799,0.0,0.5089058524173028,1.1857506361323156,2.491094147582697,2.4936386768447836,1.821882951653944,1.5419847328244274,1.3791348600508906,0.17302798982188294,1.2035623409669212,9.814249363867685,18.78880407124682,27.557251908396946,33.49363867684478,30.19083969465649
43,505.08730158730157,719.5595238095239,0.0,0.5396825396825397,0.9285714285714286,2.0873015873015874,2.126984126984127,1.4801587301587302,1.2301587301587302,1.3293650793650793,0.12698412698412698,1.0833333333333333,7.563492063492063,14.436507936507937,20.3015873015873,24.603174603174605,22.75793650793651
44,472.864768683274,739.3060498220641,0.0,0.3736654804270463,0.9217081850533808,2.0462633451957295,1.9252669039145907,1.3594306049822065,1.1387900355871887,1.1352313167259787,0.1103202846975089,1.0320284697508897,8.00711743772242,14.818505338078293,21.00711743772242,24.555160142348754,22.640569395017792
45,450.2841328413284,760.2988929889299,0.0,0.4280442804428044,0.6236162361623616,1.5387453874538746,1.5940959409594095,0.9298892988929889,0.8339483394833949,0.8782287822878229,0.055350553505535055,0.8081180811808119,5.900369003690037,10.84870848708487,14.66789667896679,16.88929889298893,15.487084870848708
46,570.1241842797311,224.93503457679947,0.0,5.658225382292783,33.38200058439661,112.4944969319178,123.40586344599201,77.93104119996104,53.32745690074997,38.684036232589854,3.689685399824681,3.6532580111035355,18.30115905327749,15.406934839777929,11.92958020843479,9.427291321710333,7.068471802863543
47,636.1544614877124,329.14580240804884,0.0,3.5474187695860135,17.976991588322612,58.318324261916544,63.45827148276431,40.57455055253175,28.21276595744681,20.79853207982847,2.205426356589147,2.3532079828467753,10.541068777832756,9.231156193303645,7.5268019132442685,6.185799109351806,4.864670954972786
48,544.7984992965453,309.30561200562767,0.0,2.306549945286853,9.033922151008285,27.308738471158357,29.284977333124903,19.29263717367516,13.870876973581366,10.501328747850556,1.3129591996248242,1.5457245583867438,5.759731123964358,4.939190245427544,4.045802720025011,3.369704549007347,2.7939659215257153
49,741.0666035353536,375.058869949495,0.0,4.6357323232323235,26.857323232323232,89.73295454545455,98.19144570707071,61.90877525252525,42.37736742424242,30.732954545454547,2.8936237373737375,2.9842171717171717,15.236900252525253,13.724905303030303,11.457386363636363,9.631155303030303,7.377209595959596
50,447.0132158590308,224.46031237484982,0.0,2.007288746495795,7.907809371245494,23.607128554265117,25.105326391670005,16.535762915498598,11.71405686824189,8.927513015618743,1.0226672006407689,1.268241890268322,5.1115738886664,4.73015618742491,4.227553063676412,3.6881057268722466,3.0967561073287944
51,318.4807215332582,224.58624577226607,0.0,2.891544532130778,14.896054114994364,47.655016910935736,51.35242390078918,32.77046223224352,22.689740698985343,16.701014656144306,1.6685456595264938,1.8922209695603156,8.794813979706877,8.220293122886133,7.143855693348366,6.079143179255919,4.877790304396843
52,295.9428321678322,282.63234265734263,0.0,1.6973776223776225,6.931643356643357,20.91311188811189,22.239685314685314,14.487762237762238,10.192482517482517,7.723951048951049,0.7826923076923077,1.2276223776223776,5.929370629370629,6.755419580419581,6.750874125874126,6.037237762237762,4.99493006993007
53,696.9586114129029,498.54255264110924,0.0,1.6129132391742977,5.59470226085157,15.86662527807957,16.825340162450203,11.188835428630554,8.079414351492575,6.320554607067101,0.708779554037974,0.9675099591287702,4.0368875782502975,3.963422836152931,3.715763878110611,3.350975218583476,2.909721144394433
